certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
0,Male,BCA,0.8186666666666667,0.5,78.0,60.0,75.0,30 - 60 minute,Anytime,6.0,1,100%,30 - 60 Minute,,,Bad,0,0.0007708534737475756,0.5886116442738323
1,Male,BCA,0.8293333333333333,0.4651162790697675,69.0,60.0,50.0,0 - 30 minute,Anytime,6.0,1,75%,1 - 30 Minute,,,Awful,0,0.0006840849523051279,0.3710812539987203
0,Male,BCA,0.8453333333333333,0.40697674418604657,85.6,70.0,65.0,1 - 2 Hour,Anytime,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0005520788169954701,0.637236084452975
1,Male,BCA,0.8293333333333333,0.5813953488372093,65.0,60.0,65.0,30 - 60 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,good,0,0.0008725060874207563,0.4414587332053743
0,Male,BCA,0.744,0.34883720930232565,70.0,60.0,60.0,0 - 30 minute,Morning,6.0,1,50%,1 - 1.30 hour,,,Bad,0,0.0007166515682510391,0.4414587332053743
0,Female,BCA,0.8026666666666666,0.32558139534883723,85.0,80.0,80.0,2 - 3 hour,Anytime,6.0,1,100%,1 - 1.30 hour,,,good,0,0.0005172704863775769,0.7933461292386437
0,Female,BCA,0.7759999999999999,0.2906976744186047,90.0,90.0,90.0,0 - 30 minute,Night,6.0,1,100%,1 - 1.30 hour,,,good,0,0.0005182743534033751,0.9532949456174022
1,Male,BCA,0.9626666666666666,0.6046511627906976,79.0,65.0,75.0,30 - 60 minute,Morning,6.0,1,75%,More than 2 hour,,,Bad,0,0.0005683071153005505,0.6269993602047343
0,Male,BCA,0.856,0.34883720930232565,77.0,87.0,60.0,30 - 60 minute,Anytime,6.0,0,25%,30 - 60 Minute,,,Bad,0,0.0004394316143313003,0.6589891234804863
0,Female,BCA,0.9093333333333333,0.2674418604651163,54.0,51.0,66.0,30 - 60 minute,Morning,6.0,1,50%,1 - 30 Minute,,,good,0,0.00023082829846126366,0.3198976327575176
0,Female,BCA,0.4986666666666666,0.1744186046511628,70.0,55.0,70.0,1 - 2 Hour,Night,6.0,1,75%,1.30 - 2 hour,,,good,0,0.0013114229590166374,0.4734484964811261
0,Female,Commerce,0.824,0.872093023255814,72.0,80.0,79.0,0 - 30 minute,Anytime,6.0,1,50%,More than 2 hour,,,good,0,0.0013661454625290754,0.7037747920665387
0,Male,Commerce,0.8293333333333333,0.5813953488372093,70.0,70.0,70.0,3 - 4 hour,Anytime,6.0,1,100%,1 - 30 Minute,,,good,1,0.0008725060874207563,0.5694177863083814
1,Male,Commerce,0.8293333333333333,0.5232558139534884,70.0,75.0,70.0,0 - 30 minute,Anytime,6.0,1,75%,1 - 1.30 hour,,,good,1,0.000778295519862942,0.6014075495841331
1,Female,B.com Accounting and Finance,0.7973333333333333,0.2906976744186047,64.0,88.0,70.0,1 - 2 Hour,Morning,6.0,1,25%,1 - 1.30 hour,,,good,0,0.00046881007133476763,0.6461932181701855
