branch,marks_10th,marks_12th,gender,board10th,board12th,category,rank,normalized_rank,cgpa,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
civil,0.8850815850815854,0.3476070528967254,male,c.b.s.e,c.b.s.e,obc,35544,0.4312585188550659,0.3974358974358976,0,0,1,1,1,1,0,1,0.0241914760838442,0.5714285714285714,0.0157363919096898,0.2839340775978032,0
civil,0.7202797202797202,0.7355163727959699,female,icse,i sc,gen,25134,0.2420717855520219,0.6057692307692311,0,1,1,1,1,1,0,1,0.0351675782827355,0.3999999999999999,0.0197711345740018,0.4335634746074358,1
civil,0.3799533799533798,0.3576826196473552,male,cbse,cbse,gen,37300,0.4631712857791913,0.2980769230769231,0,1,1,1,1,1,0,0,0.0190888733893762,0.3428571428571428,0.0141457538749543,0.2126625304012617,1
civil,0.9254079254079256,0.1561712846347609,male,c.b.s.e.,c.b.s.e.,gen,36857,0.4551203998182644,0.2692307692307694,0,2,0,0,0,0,0,0,0.0169597298190227,0.0,0.0145998858659342,0.1915288520286092,2
civil,0.4918414918414917,0.4735516372795969,male,bseb,bseb,gen,29807,0.3269968196274422,0.6923076923076927,0,0,1,1,1,1,0,0,0.0418486839690172,0.2571428571428571,0.014434534314672,0.4971648768885871,0
civil,0.0,0.0,male,b.s.e.b patna,nios board,sc,67894,1.0,0.2147435897435896,0,4,1,0,1,1,1,0,0.0136558863477845,0.2857142857142857,0.0134151268432059,0.1520994681680716,4
civil,0.9160839160839164,0.5843828715365242,male,i.c.s.e,c.b.s.e,gen,31665,0.3607632894139028,0.2358974358974361,0,2,1,0,1,1,1,0,0.0143900737858374,0.2857142857142857,0.0209721468204567,0.167033131465022,2
civil,0.5937062937062938,0.619647355163728,male,icse,cbse,gen,55832,0.7999636528850524,0.8365384615384615,0,0,1,0,1,1,1,0,0.0519437612422451,0.2857142857142857,0.006545844114432,0.6024575803208618,0
cse,0.6363636363636365,0.332493702770781,male,cbse,cbse,gen,46717,0.6343116765106771,0.2980769230769231,0,9,1,0,1,1,1,0,0.0174002422818545,0.2857142857142857,0.0158803930203045,0.211510419212899,9
cse,0.912121212121212,0.6448362720403027,male,cbse,cbse,obc,67894,1.0,0.7339743589743588,0,0,1,1,1,1,0,0,0.0429499651260966,0.2571428571428571,0.0181422207526199,0.5263443886076175,0
cse,0.6923076923076925,0.1561712846347609,male,cbse,cbse,gen,18985,0.1303225806451613,0.2019230769230768,0,8,1,1,1,1,0,0,0.0092140523475643,0.2571428571428571,0.013069181229824,0.1403217964072144,8
cse,0.7668997668997668,0.5289672544080606,male,cbse,bseb,gen,25716,0.2526487960018174,0.2211538461538464,0,8,1,1,1,1,0,0,0.0121875114716787,0.6,0.0140768373245528,0.1554711915608821,8
cse,0.6317016317016317,0.1964735516372795,male,icse,cbse,gen,40842,0.5275420263516584,0.1955128205128204,0,7,1,1,1,1,0,0,0.0117102896369442,0.3428571428571428,0.0201742365464152,0.1376513580855816,7
cse,0.8228438228438231,0.6599496221662469,female,cbse,cbse,obc,33700,0.3977464788732395,0.6634615384615385,0,0,1,1,1,1,0,0,0.0394258654234425,0.3428571428571428,0.0164435027508471,0.4758308313527408,0
cse,0.2867132867132866,0.1141057934508817,male,icse,bseb,obc,48292,0.662935029532031,0.6314102564102566,0,0,1,1,1,1,0,0,0.0365992437869387,0.3999999999999999,0.0194594763533582,0.4520345013631149,0
cse,0.6037296037296036,0.6599496221662469,male,uttar pradesh board,cbse,gen,32024,0.3672875965470241,0.2435897435897438,0,3,1,1,1,1,1,0,0.0131052457692448,0.2571428571428571,0.0254178301994893,0.1714047961765836,3
cse,0.8694638694638694,0.6347607052896727,male,cbse,cbse,gen,26102,0.2596637891867333,0.2083333333333332,0,2,1,1,1,1,0,0,0.0110495209426966,0.5142857142857142,0.0254109169908576,0.1459476503859515,2
cse,0.9361305361305364,0.9075566750629724,male,icse,isc,gen,17565,0.104516129032258,0.7211538461538465,0,0,1,1,1,1,0,0,0.0410777871590616,0.5142857142857142,0.0218528533102684,0.5163199295247037,0
cse,0.958041958041958,0.8564231738035264,male,cbse,cbse,gen,20988,0.1667242162653339,0.4711538461538465,0,0,1,1,1,1,0,0,0.0277522851584009,0.2571428571428571,0.0183763305595312,0.3366594603524681,0
cse,0.990675990675991,0.7254408060453399,male,cbse,cbse,gen,28856,0.3097137664697865,0.5224358974358971,0,0,1,1,0,1,1,0,0.0323776660181344,0.3142857142857143,0.0118900737790268,0.3748037168429871,0
cse,0.5151515151515151,0.3911838790931989,female,cbse,state,st,67894,1.0,0.3237179487179491,0,9,0,0,0,0,0,0,0.02066737638119,0.0,0.0091798615183142,0.2312337407385378,9
cse,0.9627039627039626,0.5793450881612092,male,icse,cbse,gen,23949,0.2205361199454794,0.8301282051282055,0,0,0,0,0,0,0,0,0.0505855144818471,0.0,0.0105830476487028,0.5971573229823145,0
cse,0.7529137529137531,0.8362720403022672,female,icse,cbse,gen,28384,0.3011358473421172,0.5224358974358971,0,0,1,1,1,1,0,0,0.0313130942329576,0.3428571428571428,0.0160380874880637,0.3740773858764106,0
cse,0.9766899766899768,0.5994962216624684,female,cbse,cbse,gen,26005,0.2579009541117674,0.9230769230769232,0,0,1,1,1,0,1,0,0.0562020483829521,0.3428571428571428,0.0100271982483208,0.6644059535056667,0
cse,0.972027972027972,0.6297229219143576,female,cbse,cbse,gen,52657,0.7422626079054976,0.8942307692307689,0,0,1,1,1,0,1,0,0.0528982049117139,0.3428571428571428,0.014798670670118,0.6424708064802398,0
