branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
eee,0.8368298368298368,0.5894206549118388,male,c.b.s.e,c.b.s.e,gen,0.011169132579054261,29445.0,0.32041799182189923,0.10897435897435925,1.0,1.0,0.00893397940642035,0.023748395378690626,0.022205882352941173,0.0,0.21523809523809523,1,1,1,1,0,1,0.004515252744025533,0.6571428571428571,0.021043623261949515,0.07369931326884194,2.0
eee,0.8554778554778557,0.21662468513853939,male,cbse,cbse,gen,0.01290977661734842,28051.0,0.2950840527033167,0.12179487179487158,1.0,9.0,0.0036341611144760783,0.0274390243902439,0.017941176470588224,0.0049738219895287955,0.3466666666666667,1,1,1,1,0,1,0.006938071289600209,0.5714285714285714,0.02238378318032573,0.08409946078274348,10.0
it,0.407925407925408,0.08110831234256954,female,cbse,cbse,gen,0.004931824775166807,37593.0,0.4684961381190369,0.22756410256410242,1.0,13.0,0.008176862507571173,0.029204107830551995,0.008823529411764702,0.018324607329842937,0.56,1,1,1,1,1,1,0.014022980066811033,0.7714285714285714,0.007727994605381164,0.1610970455396189,14.0
mech,0.7296037296037297,0.18136020151133514,male,icse,cbse,gen,0.015520742674789673,40107.0,0.5141844616083598,0.1923076923076923,1.0,4.0,0.0063597819503331265,0.02471116816431322,0.02397058823529412,0.013089005235602094,0.4647619047619047,1,1,1,1,1,0,0.013031827025439563,0.4857142857142857,0.021506203809329286,0.13636623071556359,5.0
mech,0.12354312354312347,0.08564231738035288,male,bseb,bseb,obc,0.003481288076588346,50226.0,0.6980826896865063,0.0,1.0,0.0,0.002725620835857062,0.017971758664955068,0.01617647058823528,0.008246073298429316,0.3695238095238096,1,1,1,1,1,0,0.005469696413494346,0.2571428571428571,0.017863601411444635,0.0,1.0
mech,0.4825174825174827,0.44332493702770814,male,bseb,bseb,obc,0.013199883957064118,32906.0,0.3833166742389822,0.34294871794871784,1.0,2.0,0.015142337976983639,0.024550706033376127,0.018823529411764697,0.02133507853403141,0.45333333333333337,1,1,0,0,0,1,0.015931867405748673,0.19999999999999998,0.011402277381343182,0.24112349785837517,3.0
mech,0.5897435897435899,0.4130982367758189,male,i.c.s.e,i.s.c,gen,0.009428488540760088,17835.0,0.10942298955020446,0.21794871794871828,1.0,5.0,0.011659600242277413,0.026636713735558412,0.02573529411764705,0.02212041884816754,0.4285714285714284,1,0,1,1,0,0,0.017033148562828074,0.08571428571428572,0.013255427206679132,0.15659047014918623,6.0
civil,0.4172494172494172,0.35264483627204024,male,bseb patna,bseb patna,gen,0.011169132579054261,40690.0,0.5247796456156293,0.15384615384615397,0.0,7.0,0.0054512416717141104,0.035943517329910135,0.026470588235294107,0.008246073298429316,0.20285714285714285,1,1,0,1,0,1,0.009599500752542109,0.3142857142857143,0.01857034426265948,0.10778308424307338,7.0
civil,0.20512820512820507,0.256926952141058,male,up board,up board,obc,0.0137800986364955,35787.0,0.43567469332121767,0.3397435897435901,0.0,5.0,0.017867958812840715,0.031129653401797172,0.02735294117647058,0.023691099476439784,0.500952380952381,1,0,1,1,0,0,0.021805366910172153,0.08571428571428572,0.012169361860209046,0.2429440615178569,5.0
civil,0.6909090909090911,0.4282115869017633,male,isce,cbse,obc,0.023063533507397732,41598.0,0.5412812358019082,0.3846153846153848,0.0,0.0,0.018776499091459717,0.03305519897304236,0.030882352941176458,0.02212041884816754,0.5485714285714287,1,1,1,1,1,1,0.02382438236481771,0.6,0.019830528385228266,0.27493650022625604,0.0
