student_id_perf,latest_cgpa,mean_cgpa,min_cgpa,max_cgpa,mean_sgpa,total_backlogs,semesters_attended,theory_gp_mean,practical_marks_mean,th_attendance_rate,pr_attendance_rate,sgpa_sem_1,sgpa_sem_2,sgpa_sem_3,sgpa_sem_4,sgpa_sem_5,sgpa_sem_6,sgpa_sem_7,sgpa_sem_8,certification_course,gender_x,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,hobbies,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,student_id_research,gender_y,branch,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,study_hours_day,stress_numeric,travel_mins,social_hours,average_marks,academic_risk_score,study_efficiency,at_risk_student,cgpa_band
10433,6.22,6.427450980392157,2.36,9.48,6.099019607843138,51.0,6,5.078431372549019,20.41176470588235,0.7843137254901961,0.2549019607843137,5.82,6.0,6.0,6.45,6.0,6.0,,,No,Male,BCA,150.0,84.0,60.0,65.0,70.0,Video Games,0 - 30 minute,Anytime,20000.0,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.25,1.0,45.0,1.0,65.0,38.27,25.71,True,Average
10436,6.45,6.370754716981133,2.36,9.48,5.864905660377358,49.0,6,5.0,14.679245283018869,0.8301886792452831,0.2075471698113207,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,99.0,50.0,75.0,70.0,60.0,Video Games,1 - 2 Hour,Morning,18000.0,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No,67.0,Female,CSE,0.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,1.5,1.0,15.0,1.25,68.33333333333333,38.6,4.25,True,Average
10447,6.45,6.32625,2.45,9.48,5.766875,12.0,2,5.9375,7.5,0.9375,0.125,6.0,6.0,,,,,,,No,Female,BCA,152.0,51.0,60.0,55.0,65.0,Cinema,2 - 3 hour,Night,20000.0,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Bad,Bad,No,,,,,,,,,,,,2.5,2.0,45.0,1.25,60.0,43.85,2.53,True,Average
10448,6.45,6.6137500000000005,6.21,8.0,6.25,6.0,1,4.125,26.375,0.75,0.375,6.0,,,,,,,,Yes,Female,BCA,158.0,64.0,59.0,54.0,80.0,Reading books,30 - 60 minute,Morning,18000.0,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,No,,,,,,,,,,,,0.75,2.0,45.0,1.0,64.33333333333333,30.21,8.82,True,Average
10449,6.45,6.5655421686747,2.36,9.48,6.171686746987952,80.0,6,5.63855421686747,16.337349397590362,0.8313253012048193,0.2409638554216867,6.0,6.0,2.36,6.0,6.64,6.0,,,No,Male,BCA,160.0,52.0,50.0,55.0,50.0,Cinema,0 - 30 minute,Anytime,17.0,Yes,75%,30 - 60 Minute,1.30 - 2 hour,Good,Awful,No,,,,,,,,,,,,0.25,1.0,105.0,1.0,51.666666666666664,37.48,26.26,True,Average
10455,6.04,6.376346153846153,2.36,9.48,5.895576923076923,51.0,6,5.4423076923076925,12.788461538461538,0.8653846153846154,0.173076923076923,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,160.0,83.0,89.5,69.7,70.0,Cinema,30 - 60 minute,Anytime,60000.0,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.75,1.0,45.0,1.0,76.39999999999999,38.56,8.5,True,Average
10459,6.45,6.461346153846154,3.73,9.48,5.963461538461539,66.0,6,5.25,17.807692307692307,0.8269230769230769,0.25,6.0,6.82,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,156.0,68.0,54.0,48.0,60.0,Video Games,30 - 60 minute,Anytime,18000.0,Yes,75%,1 - 1.30 hour,more than 3 hour,Good,Bad,No,,,,,,,,,,,,0.75,1.0,45.0,1.25,54.0,38.08,8.62,True,Average
10461,6.45,6.344705882352941,0.0,9.48,5.927843137254902,66.0,6,4.862745098039215,19.41176470588235,0.7450980392156863,0.2352941176470588,8.18,6.0,6.0,6.0,0.0,6.0,,,Yes,Male,BCA,153.0,52.0,83.0,76.0,75.0,Sports,1 - 2 Hour,Anytime,15000.0,Yes,75%,1.30 - 2 hour,30 - 60 minutes,Good,good,Yes,,,,,,,,,,,,1.5,1.0,45.0,1.75,78.0,38.84,4.23,True,Average
10473,7.13,6.419423076923077,2.36,8.47,5.984615384615385,68.0,6,4.923076923076923,17.48076923076923,0.8076923076923077,0.2307692307692307,6.0,6.0,0.0,6.0,6.0,8.08,,,Yes,Male,BCA,162.0,60.0,62.0,61.3,53.0,Cinema,0 - 30 minute,Night,0.0,Yes,100%,1 - 1.30 hour,1 - 1.30 hour,Bad,Bad,No,9.0,Male,EEE,1.0,9.0,3.0,2.0,1.0,2.0,1.0,0.0,0.25,2.0,75.0,1.25,58.76666666666667,43.32,25.68,True,Average
10475,6.45,6.424150943396227,2.36,9.27,6.031509433962264,65.0,6,4.69811320754717,18.28301886792453,0.7547169811320755,0.2452830188679245,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,150.0,60.0,60.0,65.0,60.0,Cinema,0 - 30 minute,Anytime,30000.0,Yes,100%,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,No,,,,,,,,,,,,0.25,2.0,75.0,1.0,61.666666666666664,43.29,25.7,True,Average
10506,6.45,6.45,6.45,6.45,6.0,1.0,1,5.875,17.75,0.875,0.375,6.0,,,,,,,,Yes,Female,BCA,109.0,42.0,60.0,70.0,88.0,Cinema,30 - 60 minute,Anytime,20000.0,Yes,100%,1 - 30 Minute,30 - 60 minutes,Good,good,No,,,,,,,,,,,,0.75,1.0,45.0,1.0,72.66666666666667,11.14,8.6,False,Average
10622,6.45,6.417692307692308,2.36,8.46,6.143846153846154,49.0,6,5.173076923076923,14.26923076923077,0.8076923076923077,0.173076923076923,6.0,6.0,6.0,6.0,6.0,6.0,,,Yes,Male,BCA,160.0,50.0,65.0,65.0,50.0,Sports,30 - 60 minute,Anytime,10000.0,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,Yes,,,,,,,,,,,,0.75,2.0,75.0,1.0,60.0,43.33,8.56,True,Average
11027,6.45,6.470588235294118,2.36,8.39,6.14078431372549,57.0,6,5.15686274509804,18.7843137254902,0.7647058823529411,0.2549019607843137,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,154.0,51.0,65.0,70.0,50.0,Cinema,1 - 2 Hour,Morning,20000.0,Yes,50%,1 - 30 Minute,1 - 1.30 hour,Good,Bad,No,,,,,,,,,,,,1.5,1.0,75.0,1.0,61.666666666666664,38.03,4.31,True,Average
11605,6.45,6.494259259259259,4.18,8.39,5.989999999999999,60.0,6,4.87037037037037,23.61111111111111,0.7407407407407407,0.2777777777777778,6.0,6.0,6.0,6.08,6.0,6.0,,,No,Female,BCA,142.0,42.0,78.0,60.0,60.0,Cinema,1 - 2 Hour,Anytime,25000.0,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Bad,good,No,,,,,,,,,,,,1.5,2.0,75.0,1.25,66.0,43.08,4.33,True,Average
12497,6.45,6.602352941176471,4.53,9.18,6.297058823529412,65.0,6,5.490196078431373,15.549019607843135,0.8431372549019608,0.196078431372549,6.0,7.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,180.0,90.0,75.0,73.8,65.0,Video Games,1 - 2 Hour,Morning,18000.0,Yes,50%,1 - 1.30 hour,30 - 60 minutes,Good,good,No,,,,,,,,,,,,1.5,1.0,45.0,1.25,71.26666666666667,37.27,4.4,True,Average
12504,6.45,6.45245283018868,3.65,9.18,5.952075471698113,73.0,6,4.79245283018868,21.79245283018868,0.7547169811320755,0.2452830188679245,6.0,6.0,6.0,6.0,6.0,6.0,,,No,Male,BCA,167.0,85.0,75.0,60.0,80.0,Cinema,0 - 30 minute,Anytime,20000.0,Yes,50%,1.30 - 2 hour,2 - 2.30 hour,Awful,good,No,,,,,,,,,,,,0.25,3.0,45.0,1.75,71.66666666666667,48.13,25.81,True,Average
